MusicID,Artist,MusicName,Views,MusicGenre,FileName
1,mik,musica1,12,funk,file
2,mik,musica2,3,funk,file
3,mik,musica3,54,funk,file
4,mik,musica4,765,funk,file
5,mik,musica5,23,funk,file
6,mik,musica6,123,funk,file
7,mik,musica7,543,rap,file
8,mik,musica8,76,funk,file
9,mik,musica9,9,rap,file
10,mik,musica10,0,funk,file
11,mik,musica11,7,funk,file
12,mik,musica12,98,rap,file
13,mik,musica13,75,rap,file
14,mik,musica14,1,funk,file
15,mik,musica15,44,rap,file
16,Tauz,Rap do Dark Souls,0,rap,Rap do Dark Souls _ Tauz RapGame 33 [ ezmp3.cc ].mp3
17,Linkin Park,Numb,49,Rock,20 - linkinpark - numb.mp3
19,George Harrison,Numb,0,Rock,20 - linkinpark - numb.mp3
